noise_sigma,beam_width,num_examples,mean_final_valid_candidates,median_final_valid_candidates,p90_final_valid_candidates,max_final_valid_candidates,correct_present_count,correct_present_rate,mean_correct_rank,median_correct_rank,p90_correct_rank,max_correct_rank
0.0,1,5000,0.9724,1.0,1.0,1,4862,0.9724,1.0,1.0,1.0,1
0.0,3,5000,1.1362,1.0,2.0,2,4993,0.9986,1.0,1.0,1.0,1
0.0,5,5000,1.1814,1.0,2.0,2,5000,1.0,1.0,1.0,1.0,1
0.0,10,5000,1.2356,1.0,2.0,4,5000,1.0,1.0,1.0,1.0,1
0.0,20,5000,1.4078,1.0,2.0,5,5000,1.0,1.0,1.0,1.0,1
0.0,50,5000,2.68,3.0,4.0,7,5000,1.0,1.0,1.0,1.0,1
0.0,110,5000,6.2874,6.0,8.0,13,5000,1.0,1.0,1.0,1.0,1
0.0,infinity,5000,110.0,110.0,110.0,110,5000,1.0,1.0,1.0,1.0,1
0.2,1,5000,0.9632,1.0,1.0,1,4816,0.9632,1.0,1.0,1.0,1
0.2,3,5000,1.1262,1.0,2.0,2,4988,0.9976,1.0,1.0,1.0,1
0.2,5,5000,1.1736,1.0,2.0,3,4997,0.9994,1.0,1.0,1.0,1
0.2,10,5000,1.2394,1.0,2.0,4,5000,1.0,1.0,1.0,1.0,1
0.2,20,5000,1.4412,1.0,2.0,5,5000,1.0,1.0,1.0,1.0,1
0.2,50,5000,2.797,3.0,4.0,7,5000,1.0,1.0,1.0,1.0,1
0.2,110,5000,6.399,6.0,9.0,13,5000,1.0,1.0,1.0,1.0,1
0.2,infinity,5000,110.0,110.0,110.0,110,5000,1.0,1.0,1.0,1.0,1
0.4,1,5000,0.615,1.0,1.0,1,2998,0.5996,1.0,1.0,1.0,1
0.4,3,5000,0.9516,1.0,1.0,2,4191,0.8382,1.014316,1.0,1.0,2
0.4,5,5000,1.1008,1.0,2.0,3,4528,0.9056,1.026723,1.0,1.0,2
0.4,10,5000,1.33,1.0,2.0,4,4809,0.9618,1.041797,1.0,1.0,4
0.4,20,5000,1.736,2.0,3.0,6,4933,0.9866,1.056355,1.0,1.0,4
0.4,50,5000,3.206,3.0,5.0,9,4986,0.9972,1.074408,1.0,1.0,6
0.4,110,5000,6.607,7.0,9.0,13,4998,0.9996,1.082433,1.0,1.0,6
0.4,infinity,5000,110.0,110.0,110.0,110,5000,1.0,1.086,1.0,1.0,12
0.6,1,5000,0.1082,0.0,1.0,1,312,0.0624,1.0,1.0,1.0,1
0.6,3,5000,0.3118,0.0,1.0,2,869,0.1738,1.025316,1.0,1.0,2
0.6,5,5000,0.483,0.0,1.0,3,1240,0.248,1.05,1.0,1.0,2
0.6,10,5000,0.8494,1.0,2.0,4,1823,0.3646,1.134394,1.0,2.0,4
0.6,20,5000,1.4844,1.0,3.0,6,2442,0.4884,1.291155,1.0,2.0,5
0.6,50,5000,3.3446,3.0,5.0,9,3325,0.665,1.697143,1.0,3.0,9
0.6,110,5000,6.945,7.0,10.0,16,4013,0.8026,2.344381,1.0,5.0,15
0.6,infinity,5000,110.0,110.0,110.0,110,5000,1.0,5.1608,2.0,14.0,77
