noise_sigma,beam_width,position,survival_rate,survived_count,num_examples
0.0,1,0,0.9852,4926,5000
0.0,1,1,0.9852,4926,5000
0.0,1,2,0.9794,4897,5000
0.0,1,3,0.9794,4897,5000
0.0,1,4,0.9724,4862,5000
0.0,1,5,0.9724,4862,5000
0.0,3,0,0.9998,4999,5000
0.0,3,1,0.9994,4997,5000
0.0,3,2,0.999,4995,5000
0.0,3,3,0.999,4995,5000
0.0,3,4,0.9986,4993,5000
0.0,3,5,0.9986,4993,5000
0.0,5,0,1.0,5000,5000
0.0,5,1,1.0,5000,5000
0.0,5,2,1.0,5000,5000
0.0,5,3,1.0,5000,5000
0.0,5,4,1.0,5000,5000
0.0,5,5,1.0,5000,5000
0.0,10,0,1.0,5000,5000
0.0,10,1,1.0,5000,5000
0.0,10,2,1.0,5000,5000
0.0,10,3,1.0,5000,5000
0.0,10,4,1.0,5000,5000
0.0,10,5,1.0,5000,5000
0.0,20,0,1.0,5000,5000
0.0,20,1,1.0,5000,5000
0.0,20,2,1.0,5000,5000
0.0,20,3,1.0,5000,5000
0.0,20,4,1.0,5000,5000
0.0,20,5,1.0,5000,5000
0.0,50,0,1.0,5000,5000
0.0,50,1,1.0,5000,5000
0.0,50,2,1.0,5000,5000
0.0,50,3,1.0,5000,5000
0.0,50,4,1.0,5000,5000
0.0,50,5,1.0,5000,5000
0.0,110,0,1.0,5000,5000
0.0,110,1,1.0,5000,5000
0.0,110,2,1.0,5000,5000
0.0,110,3,1.0,5000,5000
0.0,110,4,1.0,5000,5000
0.0,110,5,1.0,5000,5000
0.2,1,0,0.9822,4911,5000
0.2,1,1,0.9822,4911,5000
0.2,1,2,0.9744,4872,5000
0.2,1,3,0.9744,4872,5000
0.2,1,4,0.9632,4816,5000
0.2,1,5,0.9632,4816,5000
0.2,3,0,0.9996,4998,5000
0.2,3,1,0.999,4995,5000
0.2,3,2,0.9984,4992,5000
0.2,3,3,0.9984,4992,5000
0.2,3,4,0.9976,4988,5000
0.2,3,5,0.9976,4988,5000
0.2,5,0,0.9998,4999,5000
0.2,5,1,0.9998,4999,5000
0.2,5,2,0.9996,4998,5000
0.2,5,3,0.9996,4998,5000
0.2,5,4,0.9994,4997,5000
0.2,5,5,0.9994,4997,5000
0.2,10,0,1.0,5000,5000
0.2,10,1,1.0,5000,5000
0.2,10,2,1.0,5000,5000
0.2,10,3,1.0,5000,5000
0.2,10,4,1.0,5000,5000
0.2,10,5,1.0,5000,5000
0.2,20,0,1.0,5000,5000
0.2,20,1,1.0,5000,5000
0.2,20,2,1.0,5000,5000
0.2,20,3,1.0,5000,5000
0.2,20,4,1.0,5000,5000
0.2,20,5,1.0,5000,5000
0.2,50,0,1.0,5000,5000
0.2,50,1,1.0,5000,5000
0.2,50,2,1.0,5000,5000
0.2,50,3,1.0,5000,5000
0.2,50,4,1.0,5000,5000
0.2,50,5,1.0,5000,5000
0.2,110,0,1.0,5000,5000
0.2,110,1,1.0,5000,5000
0.2,110,2,1.0,5000,5000
0.2,110,3,1.0,5000,5000
0.2,110,4,1.0,5000,5000
0.2,110,5,1.0,5000,5000
0.4,1,0,0.854,4270,5000
0.4,1,1,0.7944,3972,5000
0.4,1,2,0.6932,3466,5000
0.4,1,3,0.6932,3466,5000
0.4,1,4,0.5996,2998,5000
0.4,1,5,0.5996,2998,5000
0.4,3,0,0.983,4915,5000
0.4,3,1,0.9664,4832,5000
0.4,3,2,0.919,4595,5000
0.4,3,3,0.919,4595,5000
0.4,3,4,0.8382,4191,5000
0.4,3,5,0.8382,4191,5000
0.4,5,0,0.9972,4986,5000
0.4,5,1,0.9902,4951,5000
0.4,5,2,0.9584,4792,5000
0.4,5,3,0.9584,4792,5000
0.4,5,4,0.9056,4528,5000
0.4,5,5,0.9056,4528,5000
0.4,10,0,1.0,5000,5000
0.4,10,1,0.999,4995,5000
0.4,10,2,0.9866,4933,5000
0.4,10,3,0.9866,4933,5000
0.4,10,4,0.9618,4809,5000
0.4,10,5,0.9618,4809,5000
0.4,20,0,1.0,5000,5000
0.4,20,1,1.0,5000,5000
0.4,20,2,0.997,4985,5000
0.4,20,3,0.997,4985,5000
0.4,20,4,0.9866,4933,5000
0.4,20,5,0.9866,4933,5000
0.4,50,0,1.0,5000,5000
0.4,50,1,1.0,5000,5000
0.4,50,2,0.9998,4999,5000
0.4,50,3,0.9998,4999,5000
0.4,50,4,0.9972,4986,5000
0.4,50,5,0.9972,4986,5000
0.4,110,0,1.0,5000,5000
0.4,110,1,1.0,5000,5000
0.4,110,2,1.0,5000,5000
0.4,110,3,1.0,5000,5000
0.4,110,4,0.9996,4998,5000
0.4,110,5,0.9996,4998,5000
0.6,1,0,0.426,2130,5000
0.6,1,1,0.2804,1402,5000
0.6,1,2,0.142,710,5000
0.6,1,3,0.142,710,5000
0.6,1,4,0.0624,312,5000
0.6,1,5,0.0624,312,5000
0.6,3,0,0.8094,4047,5000
0.6,3,1,0.5764,2882,5000
0.6,3,2,0.3216,1608,5000
0.6,3,3,0.3216,1608,5000
0.6,3,4,0.1738,869,5000
0.6,3,5,0.1738,869,5000
0.6,5,0,0.9504,4752,5000
0.6,5,1,0.7502,3751,5000
0.6,5,2,0.4428,2214,5000
0.6,5,3,0.4428,2214,5000
0.6,5,4,0.248,1240,5000
0.6,5,5,0.248,1240,5000
0.6,10,0,1.0,5000,5000
0.6,10,1,0.9476,4738,5000
0.6,10,2,0.6196,3098,5000
0.6,10,3,0.6196,3098,5000
0.6,10,4,0.3646,1823,5000
0.6,10,5,0.3646,1823,5000
0.6,20,0,1.0,5000,5000
0.6,20,1,1.0,5000,5000
0.6,20,2,0.7688,3844,5000
0.6,20,3,0.7688,3844,5000
0.6,20,4,0.4884,2442,5000
0.6,20,5,0.4884,2442,5000
0.6,50,0,1.0,5000,5000
0.6,50,1,1.0,5000,5000
0.6,50,2,0.9298,4649,5000
0.6,50,3,0.9298,4649,5000
0.6,50,4,0.665,3325,5000
0.6,50,5,0.665,3325,5000
0.6,110,0,1.0,5000,5000
0.6,110,1,1.0,5000,5000
0.6,110,2,0.9942,4971,5000
0.6,110,3,0.9942,4971,5000
0.6,110,4,0.8026,4013,5000
0.6,110,5,0.8026,4013,5000
